SRA run,Habitat,AvgSpotLen,Bioproject,Instrument,Country,Continent,Geographic coordinates,Latitude,Longitude
SRR7004198,Peatlands,302,PRJNA443510,Illumina HiSeq 2500,Colombia,South America,3.8381 N 73.3194 W,3.8381,-73.3194
SRR7004201,Peatlands,302,PRJNA443513,Illumina HiSeq 2500,Colombia,South America,3.8381 N 73.3194 W,3.8381,-73.3194
SRR7004200,Peatlands,302,PRJNA443515,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004204,Peatlands,302,PRJNA443517,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004334,Peatlands,302,PRJNA443519,Illumina HiSeq 2500,Colombia,South America,4.2396 N 73.2024 W,4.2396,-73.2024
SRR7004335,Peatlands,302,PRJNA443521,Illumina HiSeq 2500,Colombia,South America,4.2396 N 73.2024 W,4.2396,-73.2024
SRR7004340,Peatlands,302,PRJNA443524,Illumina HiSeq 2500,Colombia,South America,3.8381 N 73.3194 W,3.8381,-73.3194
SRR7004341,Peatlands,302,PRJNA443525,Illumina HiSeq 2500,Colombia,South America,3.8381 N 73.3194 W,3.8381,-73.3194
SRR7004337,Peatlands,302,PRJNA443526,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004342,Peatlands,302,PRJNA443527,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004343,Peatlands,302,PRJNA443528,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004344,Peatlands,302,PRJNA443529,Illumina HiSeq 2500,Colombia,South America,4.0627 N 73.1950 W,4.0627,-73.195
SRR7004347,Peatlands,302,PRJNA443531,Illumina HiSeq 2500,Colombia,South America,4.2396 N 73.2024 W,4.2396,-73.2024
SRR7006909,Peatlands,302,PRJNA443533,Illumina HiSeq 2500,Colombia,South America,4.2396 N 73.2024 W,4.2396,-73.2024
